Sex_Encoded,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Volume,Density,Rings
2,-0.6284031262050177,-0.4705117573538124,-1.23854810610567,-0.6656096294920525,-0.6282277944881526,-0.7521997619739456,-0.6636183886834619,-0.9438672690553364,1.6320035550912193,15
2,-1.5783764038249868,-1.560149356578335,-1.3790575759147816,-1.3145179551990023,-1.2501787637522503,-1.2738766743329046,-1.2999053597462709,-1.3296761512295783,0.8525502767665484,7
0,0.050149214952102936,0.12878892221967508,-0.11447234763277742,-0.2989820485900322,-0.46900834635654365,-0.34976328672560597,-0.18640316038635504,-0.2026471189071313,-0.11864613807190065,9
2,-0.7641135944364419,-0.4705117573538124,-0.39549128725100074,-0.6611111315668743,-0.6730082642751677,-0.6230226217707748,-0.6238504529920362,-0.7206852982997977,0.39065748619767776,10
1,-1.7593236948002184,-1.6691131165007875,-1.6600765155330046,-1.3606275589320787,-1.2999348412933782,-1.3633070021658689,-1.4192091668205478,-1.4135665560821093,0.702586124475317,7
1,-0.8998240626678662,-1.1787761968497523,-1.23854810610567,-1.0311125859127783,-1.04369104195657,-0.9857122846489081,-0.9022260028320153,-1.1341655512482842,1.9097411729188645,8
0,0.050149214952102936,0.07430704225844888,0.3070560617945568,-0.07293252784982972,-0.5660326975617429,-0.34976328672560597,0.7680272962078588,-0.04989959437991346,1.9758617927242714,20
0,0.18585968318352716,0.18327080218090128,-0.39549128725100074,-0.09430039299442589,-0.28242305557731445,-0.2702696619851931,0.21127619652790078,-0.25965806179012285,1.265515780910913,16
2,-0.4474558352297859,-0.41602987739258623,-0.39549128725100074,-0.6757312498237035,-0.6680326565210549,-0.6379276764096022,-0.544314581609185,-0.6223458032892865,0.2444680378543286,9
0,0.23109650592733524,0.34671644206457986,0.3070560617945568,0.19022960077309276,-0.18042309661800235,-0.2553646073463657,0.6884914248250076,0.12185374146022729,1.151132976204484,19
0,0.004912392208294861,-0.30706611747013385,0.02603712217633424,-0.4575541004525624,-0.7799838309885925,-0.29014306817029634,-0.18640316038635504,-0.31278735331890406,0.2501164104193897,14
2,-0.854587239924058,-0.633957397237491,-0.8170196966783354,-0.9085285174516732,-0.9118374364725811,-0.9509338238249776,-0.7829221957577385,-0.9034734289595997,0.6919552791452714,10
2,-0.31174536699836164,-0.30706611747013385,-0.11447234763277742,-0.6037552830208528,-0.6630570487669422,-0.8118199805292552,-0.34547490315205726,-0.4578235035839117,0.27776056186216,11
0,0.09538603769591102,-0.03465671766400289,0.16654659198544514,-0.2821126813706142,-0.38939862229073907,-0.056630545495333535,-0.22617109607778066,-0.13166742399360387,-0.4405003586945888,10
0,-0.49269265797359396,-0.5794755172762648,-1.0980386362965584,-0.7522057145517321,-0.9118374364725811,-0.9559021753712533,-0.38524283884348287,-0.8967227309522775,2.7301869774948218,10
